metric_key,metric_name,domain,preferred_source,backup_source,access_method,native_geo_levels,history_start,refresh,publication_lag,cost,license_class,reliability,tier,known_limitations
hpi_repeat_sale,Repeat-sale house price index,price,FHFA House Price Index,Zillow ZHVI,File download fhfa.gov/hpi/download/,"nation;state;cbsa;county;zip3;zip5;tract",1975Q1 national; county and ZIP vary,Monthly/quarterly; annual for ZIP5 and tract,1-2 quarters,Free,PUBLIC_DOMAIN,A state/CBSA; B county; C zip5,A,Index not price level; county and ZIP files are developmental and not seasonally adjusted; thin geographies revise heavily
home_value_typical,Typical home value (ZHVI),price,Zillow Research,Realtor.com median list,CSV zillow.com/research/data/,"nation;state;cbsa;county;place;zcta;neighborhood",1996-01,Monthly on the 16th,~2 weeks,Free,UNVERIFIED,C,B,Smoothed and seasonally adjusted; recent months revise; download paths change
median_list_price,Median list price,price,Realtor.com Core Metrics,Zillow,CSV econdata S3,"nation;state;cbsa;county;zcta",2016-07,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Methodology discontinuities; small geography suppression
median_sale_price,Median sale price,price,Redfin Data Center,Realtor.com,TSV redfin.com/news/data-center/downloads/,"nation;state;cbsa;county;place;zcta;neighborhood",2012-01,Weekly headline; monthly full,1-2 weeks,Free,UNVERIFIED,C,B,Minimum-sample suppression; recent months revise
price_per_sqft,Median price per square foot,price,Redfin Data Center,Zillow,TSV,"cbsa;county;place;zcta",2012-01,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Sensitive to mix shift; not quality adjusted
median_dom,Median days on market,liquidity,Realtor.com Core Metrics,Redfin; FRED MEDDAYONMAR,CSV econdata S3,"nation;state;cbsa;county;zcta",2016-07,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Days on Realtor.com not MLS cumulative DOM; relistings reset the clock
active_listings,Active listing count,liquidity,Realtor.com Core Metrics,Redfin; Zillow,CSV econdata S3,"nation;state;cbsa;county;zcta",2016-07,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Deduplication rules changed mid-series
new_listings,New listings,liquidity,Realtor.com Core Metrics,Redfin,CSV econdata S3,"nation;state;cbsa;county;zcta",2016-07,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Strongly seasonal; use year-over-year
price_reduction_share,Share of listings with a price reduction,acquisition,Realtor.com Core Metrics,Redfin price drops,CSV econdata S3,"nation;state;cbsa;county;zcta",2016-07,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Best free proxy for seller capitulation
pending_listings,Pending listings,liquidity,Realtor.com Core Metrics,Redfin,CSV econdata S3,"nation;state;cbsa;county",2016-07,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Pending definitions vary by regional contract custom
sale_to_list_ratio,Sale-to-list price ratio,liquidity,Redfin Data Center,Zillow,TSV,"cbsa;county;place;zcta",2012-01,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,Only interpretable alongside price-reduction share
sold_above_list_share,Share of homes sold above list,liquidity,Redfin Data Center,none,TSV,"cbsa;county;place;zcta",2012-01,Monthly,1-2 weeks,Free,UNVERIFIED,C,B,No public-domain substitute
months_of_supply,Months of supply,liquidity,Derived from active listings and trailing closed sales,none,Computed in L3,"shared native level of inputs",derived,Monthly,inherits,Free,DERIVED,C,B,Inherits the weakest input confidence
building_permits,Residential building permits,supply,Census Building Permits Survey,none,Bulk files plus api.census.gov timeseries/eits/bps,"state;cbsa;county;place",1959-01,Monthly and annual,12-17 working days,Free,PUBLIC_DOMAIN,A state/CBSA; B county/place,A,Permits are not starts; place-level monthly involves imputation and does not revise
housing_units_vacancy,Housing units and vacancy status,supply,Census ACS 5-year B25002/B25004,ACS 1-year,api.census.gov acs/acs5,"nation;state;cbsa;county;place;zcta;tract",rolling 5-year,Annual,~1 year,Free,PUBLIC_DOMAIN,A,A,5-year window is an average not a point in time; large tract-level margins of error
tenure_owner_renter,Owner and renter occupancy,supply,Census ACS 5-year B25003,none,api.census.gov acs/acs5,"nation through tract; zcta",rolling 5-year,Annual,~1 year,Free,PUBLIC_DOMAIN,A,A,As above
